[balanced_init] cortico-thalamic loop rho(M): 1.547 -> 1.107 (target 1.107, tau=7.0)
[freeze] init-state params frozen: 15 keys
[run] seed=42 iters=20000 in_window_weight=19.0 delay=300 hold=50 -> runs/nln_lo10_seed042
step 7000, loss: 0.062315, sup_loss: 0.062315, acc: 0.7386, in_window: 0.5149, off_window: 0.2580, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 7200, loss: 0.063008, sup_loss: 0.063008, acc: 0.7373, in_window: 0.5355, off_window: 0.2718, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 7400, loss: 0.062162, sup_loss: 0.062162, acc: 0.7592, in_window: 0.5359, off_window: 0.2667, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 7600, loss: 0.029823, sup_loss: 0.029823, acc: 0.9126, in_window: 0.6293, off_window: 0.1863, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 7800, loss: 0.020861, sup_loss: 0.020861, acc: 0.9367, in_window: 0.6858, off_window: 0.1669, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 8000, loss: 0.021002, sup_loss: 0.021002, acc: 0.9427, in_window: 0.7112, off_window: 0.1775, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 8200, loss: 0.019997, sup_loss: 0.019997, acc: 0.9380, in_window: 0.6801, off_window: 0.1520, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 8400, loss: 0.015288, sup_loss: 0.015288, acc: 0.9587, in_window: 0.6952, off_window: 0.1491, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 8600, loss: 0.013560, sup_loss: 0.013560, acc: 0.9596, in_window: 0.7009, off_window: 0.1410, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 8800, loss: 0.013779, sup_loss: 0.013779, acc: 0.9626, in_window: 0.7087, off_window: 0.1442, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 9000, loss: 0.013981, sup_loss: 0.013981, acc: 0.9550, in_window: 0.7065, off_window: 0.1400, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 9200, loss: 0.011784, sup_loss: 0.011784, acc: 0.9640, in_window: 0.7191, off_window: 0.1375, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 9400, loss: 0.011453, sup_loss: 0.011453, acc: 0.9647, in_window: 0.7071, off_window: 0.1284, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 9600, loss: 0.009737, sup_loss: 0.009737, acc: 0.9698, in_window: 0.7086, off_window: 0.1297, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 9800, loss: 0.020816, sup_loss: 0.020816, acc: 0.9358, in_window: 0.7009, off_window: 0.1660, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 10000, loss: 0.010312, sup_loss: 0.010312, acc: 0.9661, in_window: 0.7067, off_window: 0.1285, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 10200, loss: 0.008549, sup_loss: 0.008549, acc: 0.9746, in_window: 0.7268, off_window: 0.1278, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
