[balanced_init] cortico-thalamic loop rho(M): 1.547 -> 1.107 (target 1.107, tau=7.0)
[run] seed=42 iters=20000 in_window_weight=19.0 delay=300 hold=50 -> runs/seed042
step 6600, loss: 0.000996, sup_loss: 0.000996, acc: 0.9957, in_window: 0.7457, off_window: 0.2537, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 6800, loss: 0.000949, sup_loss: 0.000949, acc: 0.9956, in_window: 0.7467, off_window: 0.2538, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 7000, loss: 0.000937, sup_loss: 0.000937, acc: 0.9956, in_window: 0.7481, off_window: 0.2539, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 7200, loss: 0.000910, sup_loss: 0.000910, acc: 0.9958, in_window: 0.7450, off_window: 0.2536, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 7400, loss: 0.000984, sup_loss: 0.000984, acc: 0.9952, in_window: 0.7481, off_window: 0.2542, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 7600, loss: 0.000888, sup_loss: 0.000888, acc: 0.9957, in_window: 0.7477, off_window: 0.2537, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 7800, loss: 0.002400, sup_loss: 0.002400, acc: 0.9901, in_window: 0.7438, off_window: 0.2573, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 8000, loss: 0.000882, sup_loss: 0.000882, acc: 0.9959, in_window: 0.7466, off_window: 0.2536, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 8200, loss: 0.000897, sup_loss: 0.000897, acc: 0.9954, in_window: 0.7480, off_window: 0.2538, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 8400, loss: 0.000881, sup_loss: 0.000881, acc: 0.9960, in_window: 0.7469, off_window: 0.2535, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 8600, loss: 0.000866, sup_loss: 0.000866, acc: 0.9962, in_window: 0.7469, off_window: 0.2533, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
