[balanced_init] cortico-thalamic loop rho(M): 1.547 -> 1.107 (target 1.107, tau=7.0)
[freeze] init-state params frozen: 15 keys
[run] seed=42 iters=40000 in_window_weight=19.0 delay=300 hold=50 -> runs/nln_lo10_seed042_40k
step 16200, loss: 0.007122, sup_loss: 0.007122, acc: 0.9799, in_window: 0.7297, off_window: 0.1235, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 16400, loss: 0.007755, sup_loss: 0.007755, acc: 0.9765, in_window: 0.7251, off_window: 0.1218, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 16600, loss: 0.007655, sup_loss: 0.007655, acc: 0.9780, in_window: 0.7290, off_window: 0.1242, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 16800, loss: 0.007051, sup_loss: 0.007051, acc: 0.9790, in_window: 0.7267, off_window: 0.1215, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 17000, loss: 0.006869, sup_loss: 0.006869, acc: 0.9802, in_window: 0.7241, off_window: 0.1202, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 17200, loss: 0.006825, sup_loss: 0.006825, acc: 0.9793, in_window: 0.7290, off_window: 0.1217, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 17400, loss: 0.007832, sup_loss: 0.007832, acc: 0.9754, in_window: 0.7299, off_window: 0.1244, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 17600, loss: 0.006441, sup_loss: 0.006441, acc: 0.9811, in_window: 0.7301, off_window: 0.1192, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 17800, loss: 0.006914, sup_loss: 0.006914, acc: 0.9780, in_window: 0.7313, off_window: 0.1218, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 18000, loss: 0.007296, sup_loss: 0.007296, acc: 0.9783, in_window: 0.7346, off_window: 0.1251, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 18200, loss: 0.006954, sup_loss: 0.006954, acc: 0.9799, in_window: 0.7353, off_window: 0.1241, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 18400, loss: 0.006125, sup_loss: 0.006125, acc: 0.9820, in_window: 0.7326, off_window: 0.1204, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 18600, loss: 0.008939, sup_loss: 0.008939, acc: 0.9727, in_window: 0.7150, off_window: 0.1183, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 18800, loss: 0.006511, sup_loss: 0.006511, acc: 0.9820, in_window: 0.7345, off_window: 0.1241, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 19000, loss: 0.006341, sup_loss: 0.006341, acc: 0.9815, in_window: 0.7339, off_window: 0.1206, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 19200, loss: 0.005871, sup_loss: 0.005871, acc: 0.9845, in_window: 0.7374, off_window: 0.1207, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 19400, loss: 0.007039, sup_loss: 0.007039, acc: 0.9796, in_window: 0.7285, off_window: 0.1197, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 19600, loss: 0.006589, sup_loss: 0.006589, acc: 0.9804, in_window: 0.7293, off_window: 0.1217, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
