[init=scratch] building fresh params from init_params (no Pavlovian bootstrap)
[balanced_init] cortico-thalamic loop rho(M): 1.701 -> 1.000 (target 1.0, tau=7.0)
Hybrid batch: inputs (100, 1000, 2) (2 cue channels: preparatory + go)
Training 10000 iters -> params_hybrid_scratch.pkl
step 5600, loss: 3.215381, reward: 0.0527, log_reward: -2.9736, success: 0.0527, entropy: 0.0130, brevity: 0.2401, norm_resp_time: 0.480, silence: 0.0009, tail: 0.0009, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 5800, loss: 3.203957, reward: 0.0532, log_reward: -2.9619, success: 0.0532, entropy: 0.0124, brevity: 0.2405, norm_resp_time: 0.481, silence: 0.0008, tail: 0.0008, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 6000, loss: 3.197620, reward: 0.0534, log_reward: -2.9553, success: 0.0534, entropy: 0.0119, brevity: 0.2408, norm_resp_time: 0.482, silence: 0.0008, tail: 0.0008, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 6200, loss: 3.194216, reward: 0.0535, log_reward: -2.9518, success: 0.0535, entropy: 0.0116, brevity: 0.2410, norm_resp_time: 0.482, silence: 0.0008, tail: 0.0008, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 6400, loss: 3.192456, reward: 0.0535, log_reward: -2.9499, success: 0.0535, entropy: 0.0113, brevity: 0.2412, norm_resp_time: 0.482, silence: 0.0008, tail: 0.0008, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 6600, loss: 3.191582, reward: 0.0536, log_reward: -2.9489, success: 0.0536, entropy: 0.0111, brevity: 0.2413, norm_resp_time: 0.483, silence: 0.0007, tail: 0.0007, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 6800, loss: 3.191172, reward: 0.0536, log_reward: -2.9484, success: 0.0536, entropy: 0.0110, brevity: 0.2414, norm_resp_time: 0.483, silence: 0.0007, tail: 0.0007, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 7000, loss: 3.190967, reward: 0.0535, log_reward: -2.9482, success: 0.0535, entropy: 0.0109, brevity: 0.2414, norm_resp_time: 0.483, silence: 0.0007, tail: 0.0007, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 7200, loss: 3.190812, reward: 0.0535, log_reward: -2.9480, success: 0.0535, entropy: 0.0109, brevity: 0.2415, norm_resp_time: 0.483, silence: 0.0007, tail: 0.0007, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 7400, loss: 3.190303, reward: 0.0536, log_reward: -2.9475, success: 0.0536, entropy: 0.0109, brevity: 0.2414, norm_resp_time: 0.483, silence: 0.0007, tail: 0.0007, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 7600, loss: 3.188199, reward: 0.0537, log_reward: -2.9454, success: 0.0537, entropy: 0.0109, brevity: 0.2414, norm_resp_time: 0.483, silence: 0.0007, tail: 0.0007, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 7800, loss: 3.185348, reward: 0.0538, log_reward: -2.9426, success: 0.0538, entropy: 0.0109, brevity: 0.2414, norm_resp_time: 0.483, silence: 0.0007, tail: 0.0007, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 8000, loss: 3.176814, reward: 0.0543, log_reward: -2.9340, success: 0.0543, entropy: 0.0109, brevity: 0.2415, norm_resp_time: 0.483, silence: 0.0007, tail: 0.0007, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
