[init=scratch] building fresh params from init_params (no Pavlovian bootstrap)
[balanced_init] cortico-thalamic loop rho(M): 1.706 -> 1.000 (target 1.0, tau=7.0)
Hybrid batch: inputs (100, 1000, 2) (2 cue channels: preparatory + go)
Training 10000 iters -> params_hybrid_scratch.pkl
step 5600, loss: 0.848316, reward: 0.4469, log_reward: -0.8213, success: 0.4469, entropy: 0.0611, brevity: 0.0310, norm_resp_time: 0.031, silence: 0.0013, tail: 0.0009, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 5800, loss: 0.726706, reward: 0.5016, log_reward: -0.7014, success: 0.5016, entropy: 0.0602, brevity: 0.0293, norm_resp_time: 0.029, silence: 0.0011, tail: 0.0009, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 6000, loss: 0.632426, reward: 0.5488, log_reward: -0.6087, success: 0.5488, entropy: 0.0587, brevity: 0.0279, norm_resp_time: 0.028, silence: 0.0009, tail: 0.0008, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 6200, loss: 0.556435, reward: 0.5901, log_reward: -0.5342, success: 0.5901, entropy: 0.0559, brevity: 0.0265, norm_resp_time: 0.026, silence: 0.0008, tail: 0.0005, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 6400, loss: 0.493488, reward: 0.6266, log_reward: -0.4727, success: 0.6266, entropy: 0.0557, brevity: 0.0250, norm_resp_time: 0.025, silence: 0.0007, tail: 0.0006, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 6600, loss: 0.440442, reward: 0.6591, log_reward: -0.4211, success: 0.6591, entropy: 0.0543, brevity: 0.0236, norm_resp_time: 0.024, silence: 0.0006, tail: 0.0005, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 6800, loss: 0.395087, reward: 0.6882, log_reward: -0.3770, success: 0.6882, entropy: 0.0536, brevity: 0.0224, norm_resp_time: 0.022, silence: 0.0006, tail: 0.0005, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 7000, loss: 0.356017, reward: 0.7145, log_reward: -0.3389, success: 0.7145, entropy: 0.0532, brevity: 0.0215, norm_resp_time: 0.021, silence: 0.0005, tail: 0.0005, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 7200, loss: 0.322100, reward: 0.7383, log_reward: -0.3057, success: 0.7383, entropy: 0.0535, brevity: 0.0208, norm_resp_time: 0.021, silence: 0.0005, tail: 0.0005, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 7400, loss: 0.292308, reward: 0.7598, log_reward: -0.2764, success: 0.7598, entropy: 0.0529, brevity: 0.0203, norm_resp_time: 0.020, silence: 0.0004, tail: 0.0004, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 7600, loss: 0.266088, reward: 0.7795, log_reward: -0.2506, success: 0.7795, entropy: 0.0529, brevity: 0.0200, norm_resp_time: 0.020, silence: 0.0004, tail: 0.0004, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 7800, loss: 0.242730, reward: 0.7974, log_reward: -0.2277, success: 0.7974, entropy: 0.0530, brevity: 0.0196, norm_resp_time: 0.020, silence: 0.0003, tail: 0.0004, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 8000, loss: 0.221923, reward: 0.8137, log_reward: -0.2072, success: 0.8137, entropy: 0.0526, brevity: 0.0193, norm_resp_time: 0.019, silence: 0.0003, tail: 0.0003, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 8200, loss: 0.203268, reward: 0.8286, log_reward: -0.1888, success: 0.8286, entropy: 0.0523, brevity: 0.0191, norm_resp_time: 0.019, silence: 0.0003, tail: 0.0003, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 8400, loss: 0.186481, reward: 0.8423, log_reward: -0.1723, success: 0.8423, entropy: 0.0532, brevity: 0.0188, norm_resp_time: 0.019, silence: 0.0003, tail: 0.0004, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 8600, loss: 0.171231, reward: 0.8549, log_reward: -0.1574, success: 0.8549, entropy: 0.0529, brevity: 0.0186, norm_resp_time: 0.019, silence: 0.0002, tail: 0.0003, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 8800, loss: 0.157387, reward: 0.8663, log_reward: -0.1440, success: 0.8663, entropy: 0.0534, brevity: 0.0182, norm_resp_time: 0.018, silence: 0.0002, tail: 0.0003, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 9000, loss: 0.144814, reward: 0.8769, log_reward: -0.1318, success: 0.8769, entropy: 0.0540, brevity: 0.0179, norm_resp_time: 0.018, silence: 0.0002, tail: 0.0004, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 9200, loss: 0.133137, reward: 0.8866, log_reward: -0.1207, success: 0.8866, entropy: 0.0532, brevity: 0.0173, norm_resp_time: 0.017, silence: 0.0002, tail: 0.0002, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 9400, loss: 0.122338, reward: 0.8955, log_reward: -0.1107, success: 0.8955, entropy: 0.0536, brevity: 0.0165, norm_resp_time: 0.017, silence: 0.0002, tail: 0.0003, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 9600, loss: 0.112342, reward: 0.9036, log_reward: -0.1016, success: 0.9036, entropy: 0.0530, brevity: 0.0157, norm_resp_time: 0.016, silence: 0.0002, tail: 0.0002, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 9800, loss: 0.103076, reward: 0.9111, log_reward: -0.0933, success: 0.9111, entropy: 0.0529, brevity: 0.0147, norm_resp_time: 0.015, silence: 0.0001, tail: 0.0003, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 10000, loss: 0.094466, reward: 0.9180, log_reward: -0.0857, success: 0.9180, entropy: 0.0529, brevity: 0.0137, norm_resp_time: 0.014, silence: 0.0001, tail: 0.0003, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
Saved hybrid params to: /home/dsvedberg/Documents/CodeVault/cbtModels/cbt_loop_noSCnoSTN/params_hybrid_scratch.pkl
Final logged loss: 0.094466
Final mean reward: 0.9180
