Loading hybrid parameters from /home/dsvedberg/Documents/CodeVault/cbtModels/cbt_loop_noSCnoSTN/params_hybrid_scratch.pkl...
Dual cue→cortex weights B_cue_c ready (col 0 = timing, col 1 = Pavlovian/go).
Mixed batch: 100 STMT + 10 Pavlovian trials -> inputs (110, 1000, 2)
step 6000, loss: 1.791039, reward: 0.2424, log_reward: -1.5431, success: 0.2424, entropy: 0.0523, brevity: 0.2314, norm_resp_time: 0.463, silence: 0.0006, tail: 0.0164, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 6200, loss: 1.781776, reward: 0.2446, log_reward: -1.5321, success: 0.2446, entropy: 0.0514, brevity: 0.2335, norm_resp_time: 0.467, silence: 0.0005, tail: 0.0162, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 6400, loss: 1.787021, reward: 0.2439, log_reward: -1.5366, success: 0.2439, entropy: 0.0517, brevity: 0.2339, norm_resp_time: 0.468, silence: 0.0005, tail: 0.0165, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 6600, loss: 1.783050, reward: 0.2456, log_reward: -1.5342, success: 0.2456, entropy: 0.0527, brevity: 0.2321, norm_resp_time: 0.464, silence: 0.0005, tail: 0.0167, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 6800, loss: 1.786558, reward: 0.2449, log_reward: -1.5359, success: 0.2449, entropy: 0.0507, brevity: 0.2345, norm_resp_time: 0.469, silence: 0.0005, tail: 0.0162, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 7000, loss: 1.778793, reward: 0.2459, log_reward: -1.5304, success: 0.2459, entropy: 0.0522, brevity: 0.2317, norm_resp_time: 0.463, silence: 0.0005, tail: 0.0166, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 7200, loss: 1.782342, reward: 0.2461, log_reward: -1.5345, success: 0.2461, entropy: 0.0534, brevity: 0.2308, norm_resp_time: 0.462, silence: 0.0006, tail: 0.0170, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 7400, loss: 1.782597, reward: 0.2472, log_reward: -1.5309, success: 0.2472, entropy: 0.0520, brevity: 0.2351, norm_resp_time: 0.470, silence: 0.0005, tail: 0.0166, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 7600, loss: 1.777965, reward: 0.2472, log_reward: -1.5286, success: 0.2472, entropy: 0.0533, brevity: 0.2322, norm_resp_time: 0.464, silence: 0.0005, tail: 0.0171, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 7800, loss: 1.768256, reward: 0.2487, log_reward: -1.5172, success: 0.2487, entropy: 0.0527, brevity: 0.2341, norm_resp_time: 0.468, silence: 0.0005, tail: 0.0170, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 8000, loss: 1.763485, reward: 0.2504, log_reward: -1.5130, success: 0.2504, entropy: 0.0535, brevity: 0.2332, norm_resp_time: 0.466, silence: 0.0005, tail: 0.0173, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 8200, loss: 1.776196, reward: 0.2476, log_reward: -1.5259, success: 0.2476, entropy: 0.0538, brevity: 0.2329, norm_resp_time: 0.466, silence: 0.0005, tail: 0.0174, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 8400, loss: 1.777460, reward: 0.2483, log_reward: -1.5297, success: 0.2483, entropy: 0.0539, brevity: 0.2304, norm_resp_time: 0.461, silence: 0.0005, tail: 0.0173, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 8600, loss: 1.762028, reward: 0.2509, log_reward: -1.5114, success: 0.2509, entropy: 0.0524, brevity: 0.2337, norm_resp_time: 0.467, silence: 0.0005, tail: 0.0169, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 8800, loss: 1.766059, reward: 0.2501, log_reward: -1.5181, success: 0.2501, entropy: 0.0547, brevity: 0.2303, norm_resp_time: 0.461, silence: 0.0005, tail: 0.0177, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 9000, loss: 1.766550, reward: 0.2510, log_reward: -1.5156, success: 0.2510, entropy: 0.0529, brevity: 0.2339, norm_resp_time: 0.468, silence: 0.0005, tail: 0.0171, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 9200, loss: 1.776730, reward: 0.2487, log_reward: -1.5285, success: 0.2487, entropy: 0.0542, brevity: 0.2307, norm_resp_time: 0.461, silence: 0.0005, tail: 0.0176, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 9400, loss: 1.767255, reward: 0.2503, log_reward: -1.5172, success: 0.2503, entropy: 0.0540, brevity: 0.2326, norm_resp_time: 0.465, silence: 0.0005, tail: 0.0175, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 9600, loss: 1.760203, reward: 0.2507, log_reward: -1.5117, success: 0.2507, entropy: 0.0545, brevity: 0.2308, norm_resp_time: 0.462, silence: 0.0005, tail: 0.0177, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 9800, loss: 1.785063, reward: 0.2484, log_reward: -1.5362, success: 0.2484, entropy: 0.0546, brevity: 0.2312, norm_resp_time: 0.462, silence: 0.0006, tail: 0.0177, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 10000, loss: 1.767110, reward: 0.2503, log_reward: -1.5158, success: 0.2503, entropy: 0.0538, brevity: 0.2337, norm_resp_time: 0.467, silence: 0.0005, tail: 0.0176, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
Saved shaped params to: /home/dsvedberg/Documents/CodeVault/cbtModels/cbt_loop_noSCnoSTN/params_shaped.pkl
Final logged loss: 1.767110
Final mean reward: 0.2503
