[balanced_init] cortico-thalamic loop rho(M): 1.516 -> 1.107 (target 1.107, tau=7.0)
[supervised-thal] readout=thalamus  target 0.25->0.75 for 50 steps, opening 300 steps after cue onset
[supervised-thal] task=self-timed  inputs (100, 1000, 1)  loss=mse  iters=10000
step 7400, loss: 0.000424, sup_loss: 0.000424, acc: 0.9982, in_window: 0.7340, off_window: 0.2509, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 7600, loss: 0.000429, sup_loss: 0.000429, acc: 0.9981, in_window: 0.7349, off_window: 0.2510, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 7800, loss: 0.000461, sup_loss: 0.000461, acc: 0.9978, in_window: 0.7344, off_window: 0.2509, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 8000, loss: 0.000411, sup_loss: 0.000411, acc: 0.9982, in_window: 0.7355, off_window: 0.2509, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 8200, loss: 0.000433, sup_loss: 0.000433, acc: 0.9980, in_window: 0.7331, off_window: 0.2508, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 8400, loss: 0.000410, sup_loss: 0.000410, acc: 0.9981, in_window: 0.7365, off_window: 0.2510, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 8600, loss: 0.000423, sup_loss: 0.000423, acc: 0.9979, in_window: 0.7363, off_window: 0.2508, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 8800, loss: 0.000394, sup_loss: 0.000394, acc: 0.9982, in_window: 0.7347, off_window: 0.2507, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 9000, loss: 0.000398, sup_loss: 0.000398, acc: 0.9982, in_window: 0.7335, off_window: 0.2509, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 9200, loss: 0.000359, sup_loss: 0.000359, acc: 0.9985, in_window: 0.7352, off_window: 0.2509, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 9400, loss: 0.000560, sup_loss: 0.000560, acc: 0.9967, in_window: 0.7339, off_window: 0.2512, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 9600, loss: 0.000397, sup_loss: 0.000397, acc: 0.9982, in_window: 0.7365, off_window: 0.2509, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 9800, loss: 0.000387, sup_loss: 0.000387, acc: 0.9981, in_window: 0.7382, off_window: 0.2510, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 10000, loss: 0.000357, sup_loss: 0.000357, acc: 0.9984, in_window: 0.7368, off_window: 0.2507, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
Saved to: /home/dsvedberg/Documents/CodeVault/cbtModels/cbt_loop_noSCnoSTN/params_supervised_thal.pkl
Final logged loss: 0.000357
